"BehaviorSpace results (NetLogo 5.0RC6)"
"TransportationGraph.nlogo"
"Thriftiness and Urgency - ALL ERP on"
"04/02/2012 12:26:29:166 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-29","29","-22","22"
"[run number]","var-urgent","mid-urgent","var-thrift","mid-thrift","[step]","total-wait-count"
"124","0.2","0.5","0.2","0.2","100","1319"
"126","0.2","0.5","0.2","1","100","1280"
"127","0.2","0.5","0.30000000000000004","0.2","100","1296"
"128","0.2","0.5","0.30000000000000004","0.5","100","1271"
"129","0.2","0.5","0.30000000000000004","1","100","1299"
"125","0.2","0.5","0.2","0.5","100","1281"
"130","0.2","0.5","0.4","0.2","100","1284"
"132","0.2","0.5","0.4","1","100","1298"
"133","0.2","0.5","0.5","0.2","100","1281"
"134","0.2","0.5","0.5","0.5","100","1294"
"135","0.2","0.5","0.5","1","100","1300"
"136","0.2","0.5","0.6","0.2","100","1295"
"131","0.2","0.5","0.4","0.5","100","1299"
"137","0.2","0.5","0.6","0.5","100","1281"
"139","0.2","0.5","0.7000000000000001","0.2","100","1289"
"140","0.2","0.5","0.7000000000000001","0.5","100","1292"
"141","0.2","0.5","0.7000000000000001","1","100","1291"
"142","0.2","0.5","0.8","0.2","100","1315"
"138","0.2","0.5","0.6","1","100","1279"
"143","0.2","0.5","0.8","0.5","100","1284"
"145","0.2","0.5","0.9","0.2","100","1327"
"146","0.2","0.5","0.9","0.5","100","1293"
"147","0.2","0.5","0.9","1","100","1315"
"148","0.2","0.5","1","0.2","100","1279"
"144","0.2","0.5","0.8","1","100","1283"
"149","0.2","0.5","1","0.5","100","1293"
"151","0.2","1","0.1","0.2","100","1316"
"152","0.2","1","0.1","0.5","100","1326"
"153","0.2","1","0.1","1","100","1289"
"154","0.2","1","0.2","0.2","100","1300"
"150","0.2","0.5","1","1","100","1303"
"155","0.2","1","0.2","0.5","100","1325"
"157","0.2","1","0.30000000000000004","0.2","100","1320"
"158","0.2","1","0.30000000000000004","0.5","100","1320"
"159","0.2","1","0.30000000000000004","1","100","1295"
"160","0.2","1","0.4","0.2","100","1322"
"156","0.2","1","0.2","1","100","1278"
"161","0.2","1","0.4","0.5","100","1323"
"163","0.2","1","0.5","0.2","100","1314"
"164","0.2","1","0.5","0.5","100","1324"
"165","0.2","1","0.5","1","100","1281"
"166","0.2","1","0.6","0.2","100","1304"
"162","0.2","1","0.4","1","100","1330"
"167","0.2","1","0.6","0.5","100","1309"
"169","0.2","1","0.7000000000000001","0.2","100","1320"
"170","0.2","1","0.7000000000000001","0.5","100","1301"
"171","0.2","1","0.7000000000000001","1","100","1293"
"168","0.2","1","0.6","1","100","1297"
"172","0.2","1","0.8","0.2","100","1320"
"174","0.2","1","0.8","1","100","1289"
"175","0.2","1","0.9","0.2","100","1304"
"176","0.2","1","0.9","0.5","100","1315"
"177","0.2","1","0.9","1","100","1288"
"173","0.2","1","0.8","0.5","100","1288"
"178","0.2","1","1","0.2","100","1300"
"180","0.2","1","1","1","100","1306"
